country,people_vaccinated_current,people_vaccinated_next_year
Afghanistan,5082824,30910589
Albania,1278902,7690127
Algeria,7461932,101240287
Andorra,57817,700947
Anguilla,10572,131387
Antigua and Barbuda,63836,530306
Argentina,40907186,204519896
Aruba,87884,1065719
Australia,22202366,130186886
Azerbaijan,5322427,36709142
Bahamas,164961,1432606
Bahrain,1232740,9263835
Bangladesh,127544055,1499361515
Barbados,161076,1813066
Belgium,9230428,65800683
Belize,236015,1903700
Bhutan,687549,34134689
Bolivia,7043449,46383149
Bosnia and Herzegovina,943394,7238549
Botswana,1454775,50358570
Brazil,181078067,889640887
Brunei,407945,3291810
Bulgaria,2081276,11950146
Burundi,10372,160022
Cambodia,14814942,120305052
Cameroon,1348787,18601972
Canada,32665747,231740762
Cape Verde,354533,2800398
Cayman Islands,60364,434124
Central African Republic,923553,7713283
Chile,17859475,126899575
China,1275541000,9460405390
Colombia,41940039,193219764
Congo,681597,3268717
Cote d'Ivoire,7111845,51315170
Croatia,2310786,15282156
Cuba,10630665,128116135
Curacao,107539,1367519
Cyprus,687926,5255171
Czechia,6951303,42860733
Democratic Republic of Congo,853971,10329736
Denmark,4841445,53633185
Dominica,32403,361268
Dominican Republic,7184321,74420241
Ecuador,14836133,144298713
Egypt,44531740,269155660
El Salvador,4582343,31021118
England,44377784,347908499
Equatorial Guinea,262703,2092448
Estonia,859186,4567951
Eswatini,387509,4420394
Ethiopia,24486746,531804261
Faeroe Islands,41715,407080
Fiji,680784,5890794
Finland,4505614,30825764
France,53993210,321777650
French Polynesia,186250,1360090
Gabon,297308,2900123
Gambia,331266,1650741
Georgia,1600698,12433898
Germany,63664250,476882575
Ghana,8793591,170226886
Gibraltar,42034,431854
Greece,7896367,47719692
Greenland,41243,452963
Grenada,43292,254627
Guatemala,7624143,42923658
Guernsey,54146,691801
Guinea,3472605,66415760
Guinea-Bissau,519455,6926300
Guyana,471864,3867459
Haiti,163710,2242385
Honduras,5377876,62466431
Hong Kong,6502770,38009935
Hungary,6402207,52359722
Iceland,309770,3064060
India,984838143,4648706318
Indonesia,196240871,888649886
